"Player","Team","SACK","INT","FR","FF","TD","SAFETY","PA","YDS_AGN","FPTS"
"Dallas Cowboys","","46.4","14.6","11.9","18.6","2.7","0.0","358.4","5,670.0","115.6"
"Philadelphia Eagles","","53.8","12.6","9.5","16.5","2.7","0.4","358.5","5,561.1","115.0"
"New England Patriots","","45.3","14.8","9.4","13.8","2.9","0.1","358.7","5,709.5","111.3"
"Pittsburgh Steelers","","49.8","14.9","8.7","13.0","2.0","0.1","349.4","5,615.2","109.6"
"San Francisco 49ers","","47.5","13.8","9.9","16.0","2.3","0.0","314.7","5,491.6","109.0"
"Cleveland Browns","","45.6","14.2","9.7","15.0","2.5","0.2","364.9","5,572.0","108.7"
"Washington Commanders","","47.7","12.9","9.5","15.4","2.3","0.5","379.5","5,649.7","107.4"
"Miami Dolphins","","45.8","13.7","9.6","15.1","2.3","0.5","366.8","5,596.9","107.2"
"New Orleans Saints","","46.5","14.0","9.1","13.0","2.3","0.2","335.0","5,338.3","106.6"
"Indianapolis Colts","","44.0","13.2","10.7","16.5","2.1","0.9","387.6","5,678.0","106.2"
"Buffalo Bills","","43.1","14.9","9.8","13.7","2.0","0.6","327.6","5,589.4","105.9"
"New York Jets","","45.4","13.5","8.7","13.4","2.3","1.0","354.6","5,493.3","105.7"
"Green Bay Packers","","42.6","14.9","8.9","13.6","2.4","0.5","370.0","5,819.3","105.5"
"Kansas City Chiefs","","45.8","12.8","9.7","14.6","2.3","0.5","373.4","5,763.5","105.5"
"Seattle Seahawks","","43.9","13.7","9.9","15.8","2.1","0.7","380.4","5,945.3","104.7"
"Los Angeles Chargers","","42.6","14.2","9.8","15.4","2.1","0.6","399.6","6,131.0","104.1"
"Houston Texans","","41.8","13.9","10.6","15.2","2.0","0.5","390.9","5,727.9","104.1"
"Detroit Lions","","42.2","13.3","10.3","15.9","2.3","0.6","411.4","6,175.7","104.0"
"Minnesota Vikings","","42.2","13.7","9.9","14.5","2.2","0.2","421.1","6,126.6","103.0"
"Baltimore Ravens","","45.0","12.5","10.0","16.4","2.1","0.2","345.6","5,759.9","103.0"
"Tampa Bay Buccaneers","","43.2","11.9","11.0","17.1","2.1","0.1","379.3","5,685.6","101.8"
"Jacksonville Jaguars","","39.4","13.4","10.3","16.3","2.4","0.0","359.2","5,694.7","101.1"
"Denver Broncos","","41.5","14.1","9.4","15.1","1.9","0.1","369.2","5,683.5","100.1"
"Cincinnati Bengals","","40.1","13.7","10.0","15.8","2.0","0.1","350.7","5,780.1","99.9"
"Tennessee Titans","","41.3","13.8","8.5","12.7","2.3","0.1","355.9","5,614.8","99.8"
"New York Giants","","40.6","12.7","10.2","17.5","2.0","0.5","388.4","6,009.2","99.7"
"Carolina Panthers","","40.9","12.1","9.7","13.0","2.3","0.3","368.7","5,577.9","98.9"
"Los Angeles Rams","","42.3","13.2","8.3","12.3","2.2","0.1","398.0","5,913.2","98.8"
"Atlanta Falcons","","34.6","14.0","9.9","16.3","2.3","0.6","378.1","5,853.8","97.4"
"Arizona Cardinals","","39.9","11.7","10.0","15.0","2.1","0.1","415.5","5,863.4","95.7"
"Chicago Bears","","35.5","12.7","9.4","14.5","1.9","0.6","402.0","6,271.3","92.7"
"Las Vegas Raiders","","36.5","10.4","9.0","13.8","2.2","0.5","418.8","6,107.4","89.7"
""
""